factor,weight,interpretation,claim_boundary
containerized,4.0,positive values raise actionability priority; negative values lower it,"heuristic prioritization only, not exploitability proof"
declared_not_used,-18.0,positive values raise actionability priority; negative values lower it,"heuristic prioritization only, not exploitability proof"
dev_only,-22.0,positive values raise actionability priority; negative values lower it,"heuristic prioritization only, not exploitability proof"
direct_dependency,8.0,positive values raise actionability priority; negative values lower it,"heuristic prioritization only, not exploitability proof"
exposed_service,8.0,positive values raise actionability priority; negative values lower it,"heuristic prioritization only, not exploitability proof"
fixed_version_available,5.0,positive values raise actionability priority; negative values lower it,"heuristic prioritization only, not exploitability proof"
low_confidence,-8.0,positive values raise actionability priority; negative values lower it,"heuristic prioritization only, not exploitability proof"
missing_evidence,-4.0,positive values raise actionability priority; negative values lower it,"heuristic prioritization only, not exploitability proof"
missing_evidence_cap,-20.0,positive values raise actionability priority; negative values lower it,"heuristic prioritization only, not exploitability proof"
reachable,20.0,positive values raise actionability priority; negative values lower it,"heuristic prioritization only, not exploitability proof"
runtime_dependency,10.0,positive values raise actionability priority; negative values lower it,"heuristic prioritization only, not exploitability proof"
scanner_agreement,5.0,positive values raise actionability priority; negative values lower it,"heuristic prioritization only, not exploitability proof"
transitive_only,-12.0,positive values raise actionability priority; negative values lower it,"heuristic prioritization only, not exploitability proof"
unknown_reachability,-6.0,positive values raise actionability priority; negative values lower it,"heuristic prioritization only, not exploitability proof"
unreachable,-18.0,positive values raise actionability priority; negative values lower it,"heuristic prioritization only, not exploitability proof"
