finding_id,case_id,package_name,warning
fc5c775799e97a14d4d1,case_032,lodash,missing_evidence(scanner_confidence)=-4.0
fbc2f01801d494f5ea09,case_038,lodash,missing_evidence(scanner_confidence)=-4.0
f93bcb459ea8c89cb42f,case_005,lodash,missing_evidence(scanner_confidence)=-4.0
f3bb92180ed6db301b6d,case_034,lodash,missing_evidence(scanner_confidence)=-4.0
f0b529e2e1409804c79a,case_036,lodash,missing_evidence(scanner_confidence)=-4.0
f06b527047699a540d22,case_003,lodash,missing_evidence(scanner_confidence)=-4.0
ea5036e04bae5a560aa8,case_007,lodash,missing_evidence(scanner_confidence)=-4.0
e08705857748d60ba734,case_017,express,missing_evidence(scanner_confidence)=-4.0
ccbbf268b117000d38c6,case_003,lodash,missing_evidence(scanner_confidence)=-4.0
c38867f55e89350f8d7e,case_038,lodash,missing_evidence(scanner_confidence)=-4.0
bd629526a2f05d3d8e28,case_036,lodash,missing_evidence(scanner_confidence)=-4.0
b842688fa05bc7e36f4f,case_038,lodash,missing_evidence(scanner_confidence)=-4.0
b4d1b370953674d1d327,case_032,lodash,missing_evidence(scanner_confidence)=-4.0
ad5242ab391b264a8339,case_005,lodash,missing_evidence(scanner_confidence)=-4.0
ac649cc52d7d06e64c74,case_001,lodash,missing_evidence(scanner_confidence)=-4.0
a41e0c6d46f7e5a80cce,case_003,lodash,missing_evidence(scanner_confidence)=-4.0
9ec61679d5761db5aae7,case_034,lodash,missing_evidence(scanner_confidence)=-4.0
9a73980d7096056ad7a1,case_007,lodash,missing_evidence(scanner_confidence)=-4.0
986bbcaa99630768b294,case_007,lodash,missing_evidence(scanner_confidence)=-4.0
8a83307f1e4d71d4a3fa,case_036,lodash,missing_evidence(scanner_confidence)=-4.0
78b5d786419948cf4d60,case_003,lodash,missing_evidence(scanner_confidence)=-4.0
6ef11ce2ccfb42da5fb7,case_001,lodash,missing_evidence(scanner_confidence)=-4.0
6da7dcb28d93ec354a24,case_007,lodash,missing_evidence(scanner_confidence)=-4.0
5e9c2bf5fb6791548430,case_019,express,missing_evidence(scanner_confidence)=-4.0
58891f6fc8688fa9c05c,case_034,lodash,missing_evidence(scanner_confidence)=-4.0
52df5173d3fdb79adb4e,case_001,lodash,missing_evidence(scanner_confidence)=-4.0
51cb74aee46ad378cdff,case_005,lodash,missing_evidence(scanner_confidence)=-4.0
43467daa40bf4d25cb44,case_001,lodash,missing_evidence(scanner_confidence)=-4.0
3d9f44081bd207805296,case_021,express,missing_evidence(scanner_confidence)=-4.0
3a7bd891282ad1494f9e,case_005,lodash,missing_evidence(scanner_confidence)=-4.0
2eca861b667e59cfeddb,case_023,express,missing_evidence(scanner_confidence)=-4.0
0726a31b529ceaa1adc7,case_032,lodash,missing_evidence(scanner_confidence)=-4.0
b1bcb72b55d2ab97efc6,case_015,minimist,missing_evidence(scanner_confidence)=-4.0
7f6efbcbe5410d408401,case_009,minimist,missing_evidence(scanner_confidence)=-4.0
584b446fe1529ff19370,case_013,minimist,missing_evidence(scanner_confidence)=-4.0
4421cb015d6251153ad2,case_011,minimist,missing_evidence(scanner_confidence)=-4.0
fbe8c3351a4aa3daa501,case_021,express,missing_evidence(scanner_confidence)=-4.0
fa9d71bbf2896549aa3a,case_019,express,missing_evidence(scanner_confidence)=-4.0
b9d56e0335ac33a939cc,case_023,express,missing_evidence(scanner_confidence)=-4.0
5b76eaab3610a8af058c,case_017,express,missing_evidence(scanner_confidence)=-4.0
9ae62f583410cb72b281,case_003,lodash,missing_evidence(scanner_confidence)=-4.0
644732398f43e8ef9adf,case_005,lodash,missing_evidence(scanner_confidence)=-4.0
45443f83d7ffae16b2d5,case_007,lodash,missing_evidence(scanner_confidence)=-4.0
05d464298c48418eb870,case_001,lodash,missing_evidence(scanner_confidence)=-4.0
dfae8ad704da95274191,case_027,minimist,missing_evidence(scanner_confidence)=-4.0
2eb7b7a27761f8e9459a,case_025,minimist,missing_evidence(scanner_confidence)=-4.0
11bed7af8b5892a7b122,case_031,minimist,missing_evidence(scanner_confidence)=-4.0
0947d9e9159ac6687121,case_029,minimist,missing_evidence(scanner_confidence)=-4.0
ec2acca33b475fced4aa,case_023,qs,missing_evidence(scanner_confidence)=-4.0
a5fa799bab3849ec0bff,case_019,qs,missing_evidence(scanner_confidence)=-4.0
6fcd0bdc3d7c7a31e762,case_017,qs,missing_evidence(scanner_confidence)=-4.0
607b0e0584b8e5403e59,case_021,qs,missing_evidence(scanner_confidence)=-4.0
deaa31846cc0fd8ceb82,case_009,minimist,missing_evidence(scanner_confidence)=-4.0
d9c7b061cadd3fac5c62,case_013,minimist,missing_evidence(scanner_confidence)=-4.0
ca2f712989ff7d36fc34,case_011,minimist,missing_evidence(scanner_confidence)=-4.0
a65401f422ae11934e1e,case_015,minimist,missing_evidence(scanner_confidence)=-4.0
e372f93ebdada10b75a3,case_020,flask,"missing_evidence(severity_or_cvss,scanner_confidence)=-8.0"
db90da56d22d2276688b,case_018,flask,"missing_evidence(severity_or_cvss,scanner_confidence)=-8.0"
c5e4266beecd374a9631,case_024,flask,"missing_evidence(severity_or_cvss,scanner_confidence)=-8.0"
b8c9df1ce3e63f506a64,case_024,flask,"missing_evidence(severity_or_cvss,scanner_confidence)=-8.0"
b8a5dbf099ef8c9453ad,case_024,flask,"missing_evidence(severity_or_cvss,scanner_confidence)=-8.0"
b28313b1b573c35db0c7,case_022,flask,"missing_evidence(severity_or_cvss,scanner_confidence)=-8.0"
acbe419f1f993b2a29c4,case_022,flask,"missing_evidence(severity_or_cvss,scanner_confidence)=-8.0"
a986ce036eed10c86285,case_022,flask,"missing_evidence(severity_or_cvss,scanner_confidence)=-8.0"
a29c743de67329760efb,case_020,flask,"missing_evidence(severity_or_cvss,scanner_confidence)=-8.0"
8f5ac911b6bf592dd32e,case_018,flask,"missing_evidence(severity_or_cvss,scanner_confidence)=-8.0"
7bebf237fbfc461c4f5d,case_018,flask,"missing_evidence(severity_or_cvss,scanner_confidence)=-8.0"
77005605feb35cd06ef5,case_022,flask,"missing_evidence(severity_or_cvss,scanner_confidence)=-8.0"
663c3174755221bad64a,case_020,flask,"missing_evidence(severity_or_cvss,scanner_confidence)=-8.0"
57dd608e3d1af78c40ac,case_018,flask,"missing_evidence(severity_or_cvss,scanner_confidence)=-8.0"
45638add9dc0f2ffb8d8,case_024,flask,"missing_evidence(severity_or_cvss,scanner_confidence)=-8.0"
38ae27ba53c10af219ba,case_020,flask,"missing_evidence(severity_or_cvss,scanner_confidence)=-8.0"
bb1f1aaf25014f7f725b,case_006,pyyaml,"missing_evidence(severity_or_cvss,scanner_confidence)=-8.0"
94140debcfa4ad0a79ea,case_002,pyyaml,"missing_evidence(severity_or_cvss,scanner_confidence)=-8.0"
37b34e6578a556692199,case_004,pyyaml,"missing_evidence(severity_or_cvss,scanner_confidence)=-8.0"
1f880d6c783127da34b0,case_008,pyyaml,"missing_evidence(severity_or_cvss,scanner_confidence)=-8.0"
b527d06a9b9be302a230,case_045,nanoid,missing_evidence(scanner_confidence)=-4.0
615d93b90b0e5c97a161,case_047,nanoid,missing_evidence(scanner_confidence)=-4.0
1ba40b86720eaa5b840f,case_049,nanoid,missing_evidence(scanner_confidence)=-4.0
69fd8f073f58a30ab20e,case_021,qs,missing_evidence(scanner_confidence)=-4.0
2ff8544aa8483b8c5967,case_019,qs,missing_evidence(scanner_confidence)=-4.0
20bb33a1f2ff288dd466,case_023,qs,missing_evidence(scanner_confidence)=-4.0
05792c8dfd3351fb7286,case_017,qs,missing_evidence(scanner_confidence)=-4.0
aa79a4b2072e9a6d461e,case_025,minimist,missing_evidence(scanner_confidence)=-4.0
a00fb906491d4b670ee6,case_031,minimist,missing_evidence(scanner_confidence)=-4.0
685559859052d3c6ea29,case_029,minimist,missing_evidence(scanner_confidence)=-4.0
465933d7cae65beed4fd,case_027,minimist,missing_evidence(scanner_confidence)=-4.0
ee6ddc365d25f5b412e0,case_010,requests,"missing_evidence(severity_or_cvss,scanner_confidence)=-8.0"
ea78a180a9ae06551f9e,case_010,requests,"missing_evidence(severity_or_cvss,scanner_confidence)=-8.0"
e908a676abf6caee7fee,case_016,requests,"missing_evidence(severity_or_cvss,scanner_confidence)=-8.0"
c9e3889ac45e265041cf,case_010,requests,"missing_evidence(severity_or_cvss,scanner_confidence)=-8.0"
c394b1b77c7587c9f2de,case_016,requests,"missing_evidence(severity_or_cvss,scanner_confidence)=-8.0"
bc49a54214d1635ea1d0,case_012,requests,"missing_evidence(severity_or_cvss,scanner_confidence)=-8.0"
b177d747a14b673082d5,case_014,requests,"missing_evidence(severity_or_cvss,scanner_confidence)=-8.0"
a37de33001c8d81cf663,case_014,requests,"missing_evidence(severity_or_cvss,scanner_confidence)=-8.0"
a2d49b613b907cc60c90,case_016,requests,"missing_evidence(severity_or_cvss,scanner_confidence)=-8.0"
9cab54d3f556818f27eb,case_014,requests,"missing_evidence(severity_or_cvss,scanner_confidence)=-8.0"
923d94770a3d40ceaea0,case_012,requests,"missing_evidence(severity_or_cvss,scanner_confidence)=-8.0"
893142c3023bb0a20789,case_012,requests,"missing_evidence(severity_or_cvss,scanner_confidence)=-8.0"
7e66676936963cf5a71e,case_016,requests,"missing_evidence(severity_or_cvss,scanner_confidence)=-8.0"
6aac5c36f3b213a1bed9,case_016,requests,"missing_evidence(severity_or_cvss,scanner_confidence)=-8.0"
48cb1a8aa7ff85d04b24,case_010,requests,"missing_evidence(severity_or_cvss,scanner_confidence)=-8.0"
3c9c2a79670f826dde78,case_012,requests,"missing_evidence(severity_or_cvss,scanner_confidence)=-8.0"
