case_id,finding_id,warning
case_001,43467daa40bf4d25cb44,weak or incomplete evidence kept the VEX-style status conservative
case_001,05d464298c48418eb870,weak or incomplete evidence kept the VEX-style status conservative
case_001,ac649cc52d7d06e64c74,weak or incomplete evidence kept the VEX-style status conservative
case_001,52df5173d3fdb79adb4e,weak or incomplete evidence kept the VEX-style status conservative
case_001,6ef11ce2ccfb42da5fb7,weak or incomplete evidence kept the VEX-style status conservative
case_002,94140debcfa4ad0a79ea,weak or incomplete evidence kept the VEX-style status conservative
case_003,a41e0c6d46f7e5a80cce,weak or incomplete evidence kept the VEX-style status conservative
case_003,9ae62f583410cb72b281,weak or incomplete evidence kept the VEX-style status conservative
case_003,78b5d786419948cf4d60,weak or incomplete evidence kept the VEX-style status conservative
case_003,ccbbf268b117000d38c6,weak or incomplete evidence kept the VEX-style status conservative
case_003,f06b527047699a540d22,weak or incomplete evidence kept the VEX-style status conservative
case_004,37b34e6578a556692199,weak or incomplete evidence kept the VEX-style status conservative
case_005,ad5242ab391b264a8339,weak or incomplete evidence kept the VEX-style status conservative
case_005,644732398f43e8ef9adf,weak or incomplete evidence kept the VEX-style status conservative
case_005,3a7bd891282ad1494f9e,weak or incomplete evidence kept the VEX-style status conservative
case_005,51cb74aee46ad378cdff,weak or incomplete evidence kept the VEX-style status conservative
case_005,f93bcb459ea8c89cb42f,weak or incomplete evidence kept the VEX-style status conservative
case_006,bb1f1aaf25014f7f725b,weak or incomplete evidence kept the VEX-style status conservative
case_007,6da7dcb28d93ec354a24,weak or incomplete evidence kept the VEX-style status conservative
case_007,45443f83d7ffae16b2d5,weak or incomplete evidence kept the VEX-style status conservative
case_007,986bbcaa99630768b294,weak or incomplete evidence kept the VEX-style status conservative
case_007,9a73980d7096056ad7a1,weak or incomplete evidence kept the VEX-style status conservative
case_007,ea5036e04bae5a560aa8,weak or incomplete evidence kept the VEX-style status conservative
case_008,1f880d6c783127da34b0,weak or incomplete evidence kept the VEX-style status conservative
case_009,deaa31846cc0fd8ceb82,weak or incomplete evidence kept the VEX-style status conservative
case_009,7f6efbcbe5410d408401,weak or incomplete evidence kept the VEX-style status conservative
case_010,ea78a180a9ae06551f9e,weak or incomplete evidence kept the VEX-style status conservative
case_010,c9e3889ac45e265041cf,weak or incomplete evidence kept the VEX-style status conservative
case_010,02f460ad7b9398cf21c0,weak or incomplete evidence kept the VEX-style status conservative
case_010,ee6ddc365d25f5b412e0,weak or incomplete evidence kept the VEX-style status conservative
case_010,48cb1a8aa7ff85d04b24,weak or incomplete evidence kept the VEX-style status conservative
case_011,ca2f712989ff7d36fc34,weak or incomplete evidence kept the VEX-style status conservative
case_011,4421cb015d6251153ad2,weak or incomplete evidence kept the VEX-style status conservative
