case_id,finding_id,vulnerability_id,package_name,package_version,status,confidence_level,risk_score,scanner_names,reachability_status,dependency_scope,justification
case_001,43467daa40bf4d25cb44,1106913,lodash,4.17.20,under_investigation,low,100.0,npm_audit,reachable,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_001,05d464298c48418eb870,1108258,lodash,4.17.20,under_investigation,low,92.0,npm_audit,reachable,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_001,ac649cc52d7d06e64c74,1112455,lodash,4.17.20,under_investigation,low,100.0,npm_audit,reachable,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_001,52df5173d3fdb79adb4e,1115806,lodash,4.17.20,under_investigation,low,100.0,npm_audit,reachable,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_001,6ef11ce2ccfb42da5fb7,1115810,lodash,4.17.20,under_investigation,low,100.0,npm_audit,reachable,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_002,94140debcfa4ad0a79ea,PYSEC-2021-142,pyyaml,5.3.1,under_investigation,low,45.0,pip_audit,reachable,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_003,a41e0c6d46f7e5a80cce,1106913,lodash,4.17.20,under_investigation,low,100.0,npm_audit,reachable,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_003,9ae62f583410cb72b281,1108258,lodash,4.17.20,under_investigation,low,92.0,npm_audit,reachable,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_003,78b5d786419948cf4d60,1112455,lodash,4.17.20,under_investigation,low,100.0,npm_audit,reachable,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_003,ccbbf268b117000d38c6,1115806,lodash,4.17.20,under_investigation,low,100.0,npm_audit,reachable,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_003,f06b527047699a540d22,1115810,lodash,4.17.20,under_investigation,low,100.0,npm_audit,reachable,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_004,37b34e6578a556692199,PYSEC-2021-142,pyyaml,5.3.1,under_investigation,low,45.0,pip_audit,reachable,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_005,ad5242ab391b264a8339,1106913,lodash,4.17.20,under_investigation,low,100.0,npm_audit,reachable,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_005,644732398f43e8ef9adf,1108258,lodash,4.17.20,under_investigation,low,92.0,npm_audit,reachable,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_005,3a7bd891282ad1494f9e,1112455,lodash,4.17.20,under_investigation,low,100.0,npm_audit,reachable,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_005,51cb74aee46ad378cdff,1115806,lodash,4.17.20,under_investigation,low,100.0,npm_audit,reachable,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_005,f93bcb459ea8c89cb42f,1115810,lodash,4.17.20,under_investigation,low,100.0,npm_audit,reachable,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_006,bb1f1aaf25014f7f725b,PYSEC-2021-142,pyyaml,5.3.1,under_investigation,low,45.0,pip_audit,reachable,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_007,6da7dcb28d93ec354a24,1106913,lodash,4.17.20,under_investigation,low,100.0,npm_audit,reachable,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_007,45443f83d7ffae16b2d5,1108258,lodash,4.17.20,under_investigation,low,92.0,npm_audit,reachable,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_007,986bbcaa99630768b294,1112455,lodash,4.17.20,under_investigation,low,100.0,npm_audit,reachable,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_007,9a73980d7096056ad7a1,1115806,lodash,4.17.20,under_investigation,low,100.0,npm_audit,reachable,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_007,ea5036e04bae5a560aa8,1115810,lodash,4.17.20,under_investigation,low,100.0,npm_audit,reachable,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_008,1f880d6c783127da34b0,PYSEC-2021-142,pyyaml,5.3.1,under_investigation,low,45.0,pip_audit,reachable,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_009,deaa31846cc0fd8ceb82,1096466,minimist,0.0.8,under_investigation,low,57.0,npm_audit,declared_not_used,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_009,7f6efbcbe5410d408401,1097677,minimist,0.0.8,under_investigation,low,99.0,npm_audit,declared_not_used,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
