case_id,package_name,runtime_dependency,dev_dependency,direct_dependency,transitive_dependency,package_reachable,containerized,exposed_service,fixed_version_available,reachability_confidence,context_confidence,evidence_reason,limitation_note
case_001,lodash,True,False,True,False,True,False,False,True,medium,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
case_002,PyYAML,True,False,True,False,True,False,False,True,medium,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
case_003,lodash,True,False,True,False,True,False,False,True,medium,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
case_004,PyYAML,True,False,True,False,True,False,False,True,medium,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
case_005,lodash,True,False,True,False,True,False,False,True,medium,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
case_006,PyYAML,True,False,True,False,True,False,False,True,medium,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
case_007,lodash,True,False,True,False,True,False,False,True,medium,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
case_008,PyYAML,True,False,True,False,True,False,False,True,medium,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
case_009,minimist,True,False,True,False,False,False,False,True,medium,medium,dependency is declared in local manifests but no static import was observed,"manifest and static-source evidence support the classification, with normal static-analysis limits"
case_010,requests,True,False,True,False,False,False,False,True,medium,medium,dependency is declared in local manifests but no static import was observed,"manifest and static-source evidence support the classification, with normal static-analysis limits"
case_011,minimist,True,False,True,False,False,False,False,True,medium,medium,dependency is declared in local manifests but no static import was observed,"manifest and static-source evidence support the classification, with normal static-analysis limits"
case_012,requests,True,False,True,False,False,False,False,True,medium,medium,dependency is declared in local manifests but no static import was observed,"manifest and static-source evidence support the classification, with normal static-analysis limits"
case_013,minimist,True,False,True,False,False,False,False,True,medium,medium,dependency is declared in local manifests but no static import was observed,"manifest and static-source evidence support the classification, with normal static-analysis limits"
case_014,requests,True,False,True,False,False,False,False,True,medium,medium,dependency is declared in local manifests but no static import was observed,"manifest and static-source evidence support the classification, with normal static-analysis limits"
case_015,minimist,True,False,True,False,False,False,False,True,medium,medium,dependency is declared in local manifests but no static import was observed,"manifest and static-source evidence support the classification, with normal static-analysis limits"
case_016,requests,True,False,True,False,False,False,False,True,medium,medium,dependency is declared in local manifests but no static import was observed,"manifest and static-source evidence support the classification, with normal static-analysis limits"
case_017,express,True,False,True,False,True,False,True,True,medium,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
