case_id,package_name,package_version,ecosystem,package_manager,dependency_scope,direct_or_transitive,declared,imported,called,reachability_status,source_files,reachability_confidence,evidence_reason,limitation_note
case_001,lodash,4.17.20,npm,npm,runtime,direct,True,True,True,reachable,testbed/cases/case_001/src/index.js,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
case_002,PyYAML,5.3.1,pypi,pip,runtime,direct,True,True,True,reachable,testbed/cases/case_002/app/main.py,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
case_003,lodash,4.17.20,npm,npm,runtime,direct,True,True,True,reachable,testbed/cases/case_003/src/index.js,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
case_004,PyYAML,5.3.1,pypi,pip,runtime,direct,True,True,True,reachable,testbed/cases/case_004/app/main.py,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
case_005,lodash,4.17.20,npm,npm,runtime,direct,True,True,True,reachable,testbed/cases/case_005/src/index.js,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
case_006,PyYAML,5.3.1,pypi,pip,runtime,direct,True,True,True,reachable,testbed/cases/case_006/app/main.py,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
case_007,lodash,4.17.20,npm,npm,runtime,direct,True,True,True,reachable,testbed/cases/case_007/src/index.js,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
case_008,PyYAML,5.3.1,pypi,pip,runtime,direct,True,True,True,reachable,testbed/cases/case_008/app/main.py,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
case_009,minimist,0.0.8,npm,npm,runtime,direct,True,False,False,declared_not_used,,medium,dependency is declared in local manifests but no static import was observed,"manifest and static-source evidence support the classification, with normal static-analysis limits"
case_010,requests,2.19.1,pypi,pip,runtime,direct,True,False,False,declared_not_used,,medium,dependency is declared in local manifests but no static import was observed,"manifest and static-source evidence support the classification, with normal static-analysis limits"
case_011,minimist,0.0.8,npm,npm,runtime,direct,True,False,False,declared_not_used,,medium,dependency is declared in local manifests but no static import was observed,"manifest and static-source evidence support the classification, with normal static-analysis limits"
case_012,requests,2.19.1,pypi,pip,runtime,direct,True,False,False,declared_not_used,,medium,dependency is declared in local manifests but no static import was observed,"manifest and static-source evidence support the classification, with normal static-analysis limits"
case_013,minimist,0.0.8,npm,npm,runtime,direct,True,False,False,declared_not_used,,medium,dependency is declared in local manifests but no static import was observed,"manifest and static-source evidence support the classification, with normal static-analysis limits"
case_014,requests,2.19.1,pypi,pip,runtime,direct,True,False,False,declared_not_used,,medium,dependency is declared in local manifests but no static import was observed,"manifest and static-source evidence support the classification, with normal static-analysis limits"
case_015,minimist,0.0.8,npm,npm,runtime,direct,True,False,False,declared_not_used,,medium,dependency is declared in local manifests but no static import was observed,"manifest and static-source evidence support the classification, with normal static-analysis limits"
case_016,requests,2.19.1,pypi,pip,runtime,direct,True,False,False,declared_not_used,,medium,dependency is declared in local manifests but no static import was observed,"manifest and static-source evidence support the classification, with normal static-analysis limits"
case_017,express,4.16.0,npm,npm,runtime,direct,True,True,True,reachable,testbed/cases/case_017/src/index.js,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
case_017,qs,6.5.1,npm,npm,transitive,transitive,True,False,False,transitive_only,,medium,dependency is present only as a transitive dependency in local manifests or lockfiles,"manifest and static-source evidence support the classification, with normal static-analysis limits"
case_018,Flask,0.12.2,pypi,pip,runtime,direct,True,True,True,reachable,testbed/cases/case_018/app/main.py,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
case_018,Jinja2,2.10,pypi,pip,transitive,transitive,True,False,False,transitive_only,,medium,dependency is present only as a transitive dependency in local manifests or lockfiles,"manifest and static-source evidence support the classification, with normal static-analysis limits"
case_019,express,4.16.0,npm,npm,runtime,direct,True,True,True,reachable,testbed/cases/case_019/src/index.js,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
case_019,qs,6.5.1,npm,npm,transitive,transitive,True,False,False,transitive_only,,medium,dependency is present only as a transitive dependency in local manifests or lockfiles,"manifest and static-source evidence support the classification, with normal static-analysis limits"
case_020,Flask,0.12.2,pypi,pip,runtime,direct,True,True,True,reachable,testbed/cases/case_020/app/main.py,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
case_020,Jinja2,2.10,pypi,pip,transitive,transitive,True,False,False,transitive_only,,medium,dependency is present only as a transitive dependency in local manifests or lockfiles,"manifest and static-source evidence support the classification, with normal static-analysis limits"
